topic,keyword,definition
A-Programming,Runtime Error,Occurs while the program is running.
A-Programming,Logic Error,Program runs but gives incorrect output.
A-Programming,Debugging,The process of finding and fixing program errors.
A-Programming,Error Diagnostics,Identifies and describes code errors.
A-Programming,Breakpoints,Stops execution at specific points to inspect variables.
A-Programming,Syntax Highlighting,Color-coding for easy readability of code.
A-Programming,Variable Watch Window,Monitors variable values during execution.
A-Programming,Auto-complete,Suggests code as you type.
A-Programming,Step-through Execution,Runs code line by line for debugging.
A-Programming,Programming Standards,"Set of rules to make code readable, consistent, and maintainable (naming, indentation, commenting)."
A-OOP,Class,A blueprint for creating objects that defines attributes (data) and methods (behaviour).
A-OOP,Object,An instance of a class with specific values for its attributes.
A-OOP,Encapsulation,Hiding an object‚Äôs data and allowing controlled access only through methods (getters and setters).
A-OOP,Inheritance,"When a child class inherits attributes and methods from a parent class, promoting code reuse."
A-OOP,Polymorphism,The ability for methods to take multiple forms (via method overloading or overriding).
A-OOP,Abstraction,Hiding complex implementation details and exposing only essential features.
A-OOP,Method,A function defined inside a class that describes an object‚Äôs behaviour.
A-OOP,Constructor,A special method automatically called when an object is created; used to initialise attributes.
A-OOP,Getter (Accessor),A method that retrieves the value of an attribute.
A-OOP,Setter (Mutator),A method that updates the value of an attribute.
A-OOP,Method Overriding,When a child class redefines a method inherited from the parent class to change its behaviour.
A-OOP,Method Overloading,When multiple methods share the same name but have different parameters.
A-OOP,Public,Attributes or methods that can be accessed from anywhere in the program.
A-OOP,Private,Attributes or methods that can only be accessed within the same class.
A-OOP,Protected,Attributes or methods that can be accessed within the class and its subclasses.
A-OOP,Parent Class (Super Class),The class whose features are inherited by another class.
A-OOP,Child Class (Subclass),The class that inherits properties and methods from a parent class.
A-OOP,super(),A function used to call methods or constructors from the parent class within a child class.
A-OOP,Encapsulation (Principle),"Protects data from being directly modified, improving security and integrity."
A-OOP,Abstraction (Principle),Simplifies complexity by exposing only necessary parts of the code.
A-OOP,Inheritance (Principle),Promotes reusability and allows extension of existing code without rewriting.
A-OOP,Polymorphism (Principle),Enhances flexibility by allowing one interface to be used for multiple data types or actions.
A-OOP,Overriding Example,Occurs when a subclass provides a specific implementation of a method that is already defined in its superclass.
A-OOP,Overloading Example,Occurs when multiple methods have the same name but differ in parameter type or number.
A-OOP,Getter and Setter Example,Methods used to retrieve and update private attributes to maintain encapsulation.
A-OOP,Constructor Example,A special method that is automatically called when a new object is created to initialise data attributes.
A-Data Structures,Array,A fixed-size data structure that stores multiple items of the same data type under one variable name. Each element is accessed using an index starting from 0.
A-Data Structures,1D Array,"A one-dimensional array stores a list of data in a single line, such as [10, 20, 30, 40]. It allows easy sequential access but has a fixed length."
A-Data Structures,2D Array,"A two-dimensional array is a collection of rows and columns, similar to a table or matrix. Each element is accessed using two indices, e.g., array[row][column]."
A-Data Structures,Dynamic Array,"An array that can grow or shrink in size during runtime, allowing flexible memory use (as seen in languages like Python with lists)."
A-Data Structures,Static Array,An array with a fixed size defined at creation time. Memory cannot be adjusted once allocated.
A-Data Structures,Index,"The position of an element in an array or list. Indexing allows direct access to any element (e.g., array[2] retrieves the third item)."
A-Data Structures,Traversal,"The process of visiting and accessing each element in a data structure sequentially, typically using a loop."
A-Data Structures,Insertion (Array),"Adding a new element into an array at a specific index, which may require shifting elements to make space."
A-Data Structures,Deletion (Array),"Removing an element from an array, followed by shifting the remaining elements to fill the gap."
A-Data Structures,Advantages of Arrays,"Provide fast, direct access using indices and efficient storage for fixed-size collections."
A-Data Structures,Disadvantages of Arrays,"Fixed size; adding or removing elements requires shifting, which can be slow for large arrays."
A-Data Structures,List,"An ordered, dynamic collection of elements that can store different data types. Lists can grow or shrink as needed, unlike arrays."
A-Data Structures,Advantages of Lists,"Dynamic resizing, can store mixed data types, and supports built-in functions for easy manipulation."
A-Data Structures,Disadvantages of Lists,Slower access times compared to arrays due to dynamic memory management and type flexibility.
A-Data Structures,Tuple,"An ordered, immutable collection of elements. Once created, its elements cannot be modified. Ideal for storing fixed data like coordinates (x, y)."
A-Data Structures,Advantages of Tuples,"Faster than lists, use less memory, and are immutable for safety and reliability in fixed data storage."
A-Data Structures,Disadvantages of Tuples,"Cannot change, add, or remove items once created, limiting flexibility."
A-Data Structures,Record,"A data structure that stores related fields of possibly different data types under one name, e.g., a student record with name, age, and grade."
A-Data Structures,Field,"An individual piece of data within a record, representing one attribute of an entity (e.g., ‚ÄòName‚Äô or ‚ÄòAge‚Äô)."
A-Data Structures,Accessing Record Data,"Data is accessed using field names rather than indices, e.g., student.name or record['Age']."
A-Data Structures,Advantages of Records,Allow grouping of related but different data types; easier to understand and maintain structured information.
A-Data Structures,Disadvantages of Records,Cannot perform mathematical operations directly; less efficient for iterative numeric computations.
A-Data Structures,Mutable Data Structure,"A data structure that allows modification of its content after creation (e.g., lists, arrays)."
A-Data Structures,Immutable Data Structure,"A data structure whose content cannot be changed after creation (e.g., tuples, strings)."
A-Data Structures,Array Traversal Example,"For i in range(0, length): print(array[i]) ‚Äì accesses each element in order."
A-Data Structures,Record Example,"student = {Name: 'Alice', Age: 17, Grade: 'A'} ‚Äì demonstrates how different data types can be stored together."
A-Data Structures,Real-world Example (Array),"Used in game leaderboards, image pixel storage, or mathematical computations."
A-Data Structures,Real-world Example (Record),"Used in databases to represent entities such as employees, students, or customers."
A-Data Structures,Nested List,"A list that contains other lists as elements, allowing for the representation of multidimensional data."
A-Data Structures,Array vs List,Arrays are fixed-size and store elements of one type; lists are dynamic and can store multiple data types.
A-Data Structures,Tuple vs List,Tuples are immutable and faster; lists are mutable and more flexible.
A-Data Structures,Record vs Array,"Records can store mixed data types identified by field names, whereas arrays store elements of the same type using indices."
A-Data Structures,Data Type Consistency,"Arrays enforce uniform data types, improving efficiency, while lists and records allow mixed types for flexibility."
A-Data Structures,Graph,"A data structure made up of nodes (vertices) connected by edges. Graphs can represent networks such as roads, social media connections, or computer systems."
A-Data Structures,Vertex (Node),"A fundamental unit in a graph that represents an entity, such as a city, user, or data point."
A-Data Structures,Edge,A connection between two vertices that shows a relationship or path between them.
A-Data Structures,Directed Graph (Digraph),"A graph where edges have a direction, indicating a one-way relationship (e.g., A ‚Üí B)."
A-Data Structures,Undirected Graph,"A graph where edges have no direction; connections go both ways (e.g., A‚ÄîB)."
A-Data Structures,Weighted Graph,"A graph in which each edge has a numerical weight representing cost, distance, or time."
A-Data Structures,Unweighted Graph,"A graph where all edges are treated equally, without weights."
A-Data Structures,Adjacent Nodes,Two nodes that are directly connected by an edge.
A-Data Structures,Path,A sequence of connected nodes representing a route from one node to another.
A-Data Structures,Cycle,A path that starts and ends at the same node without repeating other nodes along the way.
A-Data Structures,Connected Graph,A graph where there is a path between every pair of vertices.
A-Data Structures,Disconnected Graph,A graph containing at least two nodes that have no connecting path.
A-Data Structures,Adjacency Matrix,"A 2D array representing graph connections; each cell stores 1 or weight if an edge exists, or 0 if not."
A-Data Structures,Adjacency List,A dictionary or list of lists where each key (node) stores a list of its connected nodes. More memory-efficient than a matrix for sparse graphs.
A-Data Structures,Traversal,The process of visiting all the nodes in a graph in a specific order to access or search for data.
A-Data Structures,Breadth-First Search (BFS),A traversal algorithm that explores all neighbours of a node before moving to the next level; uses a queue data structure.
A-Data Structures,Depth-First Search (DFS),A traversal algorithm that explores as far as possible along a branch before backtracking; uses a stack or recursion.
A-Data Structures,Queue (in BFS),Stores nodes that have been discovered but not yet explored. Ensures level-by-level exploration.
A-Data Structures,Stack (in DFS),"Stores nodes as they are visited; supports last-in, first-out (LIFO) traversal order."
A-Data Structures,Tree,A special type of graph with a hierarchical structure where each node (except the root) has exactly one parent and no cycles exist.
A-Data Structures,Root Node,The topmost node in a tree; all other nodes descend from it.
A-Data Structures,Child Node,A node directly connected below another node (its parent).
A-Data Structures,Parent Node,A node that has one or more child nodes connected beneath it.
A-Data Structures,Leaf Node,A node with no children; represents the end of a branch in the tree.
A-Data Structures,Subtree,"A smaller tree that exists within a larger tree, starting from any node as its root."
A-Data Structures,Binary Tree,"A tree where each node has at most two children, commonly referred to as the left and right child."
A-Data Structures,Full Binary Tree,A binary tree in which every node has either two children or none.
A-Data Structures,Complete Binary Tree,"A binary tree where all levels are filled except possibly the last, which is filled from left to right."
A-Data Structures,Binary Search Tree (BST),A type of binary tree where left child nodes contain smaller values and right child nodes contain larger values than the parent node.
A-Data Structures,Balanced Tree,"A binary tree where the height difference between left and right subtrees of every node is minimal, improving search efficiency."
A-Data Structures,Traversal (Tree),The process of visiting each node in a tree in a specific order to access or modify data.
A-Data Structures,In-order Traversal,"Visits the left subtree, then the root node, and finally the right subtree; used to retrieve sorted data in a BST."
A-Data Structures,Pre-order Traversal,"Visits the root node first, followed by the left subtree and then the right subtree; useful for copying a tree."
A-Data Structures,Post-order Traversal,"Visits the left subtree, then the right subtree, and finally the root node; useful for deleting or freeing memory."
A-Data Structures,Tree Height,The length of the longest path from the root node to a leaf node.
A-Data Structures,Tree Depth,The distance (number of edges) from the root node to a specific node.
A-Data Structures,Advantages of Trees,"Efficient searching, hierarchical data organisation, and fast insertion/deletion in BSTs."
A-Data Structures,Disadvantages of Trees,"Can become unbalanced, leading to inefficient operations (O(n) time)."
A-Data Structures,Graph vs Tree,"All trees are graphs, but not all graphs are trees. Trees have no cycles and exactly one path between any two nodes."
A-Data Structures,Binary Tree Example,"Used in file systems, decision trees, and hierarchical databases."
A-Data Structures,Graph Example,"Used in social networks, web page ranking, and shortest path algorithms like Dijkstra‚Äôs and A*."
A-Data Structures,Hashing,The process of applying a mathematical algorithm (hash function) to a key field to transform it into a numerical address where data is stored in a table.
A-Data Structures,Purpose of Hashing,"Allows data to be accessed quickly without scanning the entire dataset, ideal for databases and lookup operations."
A-Data Structures,Hash Table,A data structure that stores key‚Äìvalue pairs. A hashing algorithm calculates the index in the table where each record is stored.
A-Data Structures,Hash Function,"A formula that converts a key into an index in the hash table, such as key mod table size. It determines the storage location for each entry."
A-Data Structures,Hash Address,"The result of applying the hash function, indicating where the record should be stored in the table."
A-Data Structures,Key Field,A unique field (like an ID or name) used as input to the hash function to determine where the record is stored.
A-Data Structures,Array Implementation,Hash tables are often implemented using arrays or lists where each index corresponds to a possible storage location.
A-Data Structures,String Hashing Example,Strings can be hashed by converting each character to its ASCII value and combining them. Example: 'CAB' ‚Üí (67+65+66) mod 11 = 9.
A-Data Structures,Python Dictionary,Python‚Äôs built-in dictionary uses hashing to store key‚Äìvalue pairs for fast retrieval. Example: my_dict['name'] = 'Alice'.
A-Data Structures,Search Process in a Hash Table,"Apply the hash function to the key, access the resulting index, check for the item, and handle collisions if necessary."
A-Data Structures,Operations on Hash Tables,"Include creating a table, adding key‚Äìvalue pairs, searching for values, checking for existence, and calculating length."
A-Data Structures,Collision,Occurs when two different keys produce the same hash address and attempt to occupy the same table location.
A-Data Structures,Linear Probing,A collision resolution method where the algorithm checks the next available slot sequentially until it finds an empty one.
A-Data Structures,Chaining,A collision resolution method where each hash index stores a linked list of items that share the same hash value.
A-Data Structures,Load Factor,Indicates how full the hash table is. A high load factor increases the likelihood of collisions and reduces performance.
A-Data Structures,Time Complexity ‚Äì Search,"In the ideal case O(1), but in the worst case with many collisions, performance can degrade to O(n)."
A-Data Structures,Time Complexity ‚Äì Add,"Generally O(1), unless frequent collisions occur, which can increase lookup time."
A-Data Structures,Advantages of Hash Tables,"Fast data retrieval and insertion, efficient key-based access, and good scalability for large datasets."
A-Data Structures,Disadvantages of Hash Tables,"Susceptible to collisions, fixed size if not dynamically resized, and complex to implement compared to arrays or lists."
A-Data Structures,Comparison ‚Äì Linked List vs Hash Table,"Linked Lists require O(n) for searching; Hash Tables achieve O(1) with good hashing. Hash Tables use index-based storage, while Linked Lists rely on pointers."
A-Data Structures,Example Use Cases,"Hash tables are used in databases, caches, symbol tables, and programming languages for variable lookup and memory management."
A-Data Structures,Linked List,A dynamic data structure made up of nodes connected using pointers. It can grow or shrink during runtime and stores data in non-contiguous memory locations.
A-Data Structures,Dynamic Data Structure,"A data structure that can change in size as elements are added or removed, unlike arrays which are fixed in size."
A-Data Structures,Ordered Linked List,"A linked list where nodes are arranged in a specific order, such as numerical or alphabetical order."
A-Data Structures,Unordered Linked List,"A linked list where elements are stored in the order they are inserted, without sorting."
A-Data Structures,Pointer,"A variable that stores the address of another variable or node in memory, linking one node to the next in a linked list."
A-Data Structures,Head (Start Pointer),A special pointer that always points to the first node in the list. Traversal begins here.
A-Data Structures,Null Pointer,A pointer value that indicates the end of a linked list (commonly represented as NULL or None).
A-Data Structures,Free Node Pointer,A pointer that keeps track of the next available memory location for a new node to be inserted.
A-Data Structures,Node,A basic building block of a linked list containing two parts: data (the stored value) and a pointer to the next node.
A-Data Structures,Getter and Setter Methods,Methods in object-oriented implementations used to access and modify the data and pointer fields of a node safely.
A-Data Structures,Linked List vs Array,"Linked lists are dynamic, non-contiguous, and allow efficient insertion/deletion; arrays are fixed in size, contiguous, and support direct indexing."
A-Data Structures,Insertion in Ordered List,Process of inserting a node at the correct position based on value order. Requires traversal and pointer adjustments to maintain order.
A-Data Structures,Insertion in Unordered List,Simpler process where new nodes can be inserted at the head or tail without maintaining any order. Fast and flexible for unsorted data.
A-Data Structures,Insertion at Head,"Creates a new node and links it to the current head, then updates the head pointer to this new node. Efficient with O(1) complexity."
A-Data Structures,Insertion at End,Traverses to the end of the list and adds a new node by updating the last node‚Äôs pointer. Useful in queue-like structures.
A-Data Structures,Deletion in Linked List,"Process of removing a node by updating the previous node‚Äôs pointer to skip over it, followed by freeing memory. No shifting required."
A-Data Structures,Searching in Linked List,Performed using linear search; start at the head and check each node sequentially until the value is found or the end is reached (O(n) time).
A-Data Structures,Traversal,"The process of visiting each node in a list sequentially to read or manipulate its data, usually starting from the head until NULL."
A-Data Structures,Advantages of Linked Lists,"Dynamic memory use, efficient insertion/deletion operations, and flexible data ordering."
A-Data Structures,Disadvantages of Linked Lists,"Extra memory overhead for pointers, no random access (must traverse sequentially), and more complex to implement than arrays."
A-Data Structures,Example Use ‚Äì Ordered List,Used in maintaining sorted datasets such as alphabetical name lists or priority queues.
A-Data Structures,Example Use ‚Äì Unordered List,"Used in situations where order doesn‚Äôt matter, such as managing recent activity logs or stacks."
A-Data Structures,Real-world Example,"Linked lists are used in memory management, undo operations, and dynamic data storage systems."
A-Data Structures,Linear Data Structure,"A structure where elements are arranged sequentially and processed in a specific order, such as stacks and queues."
A-Data Structures,Dynamic Size,Allows the structure to grow or shrink as items are added or removed during runtime.
A-Data Structures,Stack,"A LIFO (Last In, First Out) data structure where the most recently added element is the first to be removed."
A-Data Structures,LIFO Principle,"Last In, First Out ‚Äì the most recent item added to the stack is the first to be removed."
A-Data Structures,Stack Pointer,A variable that indicates the position of the top element in the stack or the next free slot for insertion.
A-Data Structures,Push Operation,Adds a new element to the top of the stack. Checks for overflow before insertion.
A-Data Structures,Pop Operation,Removes and returns the element from the top of the stack. Checks for underflow before removal.
A-Data Structures,Peek Operation,Returns the top element of the stack without removing it.
A-Data Structures,isFull() (Stack),Checks whether the stack has reached its maximum capacity.
A-Data Structures,isEmpty() (Stack),Checks whether the stack contains no elements.
A-Data Structures,Stack Overflow,Occurs when a push operation is attempted on a full stack.
A-Data Structures,Stack Underflow,Occurs when a pop operation is attempted on an empty stack.
A-Data Structures,Stack PUSH Algorithm,"1. Check if full. 2. If not, increment top pointer. 3. Insert the new element at the top."
A-Data Structures,Stack POP Algorithm,"1. Check if empty. 2. If not, remove the top element. 3. Decrement top pointer."
A-Data Structures,Display Stack,"Loops from top to bottom, displaying all elements currently in the stack."
A-Data Structures,Stack Use Case ‚Äì Undo Function,"Stacks store previous states, allowing actions to be undone in reverse order (e.g., Ctrl+Z)."
A-Data Structures,Queue,"A FIFO (First In, First Out) data structure where the first element added is the first to be removed."
A-Data Structures,FIFO Principle,"First In, First Out ‚Äì items are processed in the same order they were inserted."
A-Data Structures,Front Pointer,Indicates where the next element will be removed in a queue.
A-Data Structures,Rear Pointer,Indicates where the next element will be added in a queue.
A-Data Structures,Enqueue Operation,Adds a new element to the rear of the queue after checking for overflow.
A-Data Structures,Dequeue Operation,Removes and returns the element at the front of the queue after checking for underflow.
A-Data Structures,isFull() (Queue),Checks if the queue has reached maximum capacity.
A-Data Structures,isEmpty() (Queue),Checks if the queue contains no elements.
A-Data Structures,Linear Queue,A basic queue where insertion happens at the rear and deletion happens at the front. Space can become wasted as elements are removed.
A-Data Structures,Circular Queue,A queue that connects the rear of the array back to the front to reuse freed space efficiently.
A-Data Structures,Circular Queue Enqueue,"If rear = max - 1, wrap around to 0. Insert new item and adjust pointers."
A-Data Structures,Circular Queue Dequeue,"If front = max - 1, wrap around to 0. Remove the item and adjust pointers."
A-Data Structures,Priority Queue,A queue where each element has a priority value. Higher priority items are dequeued first.
A-Data Structures,Priority Queue Operations,Insert elements with priority; remove the element with the highest priority first.
A-Data Structures,Priority Queue Use Case,"Used in CPU scheduling, network traffic control, and emergency systems."
A-Data Structures,Stack vs Queue,Stack uses LIFO order; Queue uses FIFO order. Stacks handle reversals; Queues handle sequencing.
A-Data Structures,Example ‚Äì Stack in Programming,"Used in recursion, expression evaluation, and call stack management."
A-Data Structures,Example ‚Äì Queue in Programming,"Used in buffering, scheduling, and order processing systems."
A-Data Structures,Big O ‚Äì Stack Push/Pop,"Both operations are O(1) ‚Äì constant time, as they affect only one end of the stack."
A-Data Structures,Big O ‚Äì Queue Enqueue/Dequeue,Both are O(1) ‚Äì constant time operations affecting front and rear pointers.
A-Data Structures,Search Complexity,"O(n) for both stacks and queues, as traversal is required to locate elements."
A-Shortest,Dijkstra‚Äôs Algorithm,A shortest path algorithm that finds the minimum distance between nodes in a weighted graph.
A-Shortest,Purpose of Dijkstra‚Äôs Algorithm,Calculates the shortest path from a starting node to all other nodes.
A-Graph,Weighted Graph,A graph where each edge has a numerical value (weight) representing distance or cost.
A-Graph,Visited Node,A node whose shortest distance from the start node has been finalised.
A-Graph,Unvisited Node,A node that has not yet been processed in the algorithm.
A-Graph,Current Node,The node currently being analysed in the algorithm.
A-Graph,Neighbouring Node,A node directly connected by an edge to the current node.
A-Shortest,Dijkstra‚Äôs Algorithm Steps,"1. Start with distance 0 for start node, ‚àû for others. 2. Choose node with smallest distance. 3. Update neighbour distances if shorter path found. 4. Mark node as visited. 5. Repeat until destination is visited."
A-Shortest,A* (A-Star) Algorithm,An improvement on Dijkstra‚Äôs algorithm that adds a heuristic to estimate the remaining distance to the goal.
A-Shortest,Heuristic (h),An estimated distance or cost from a node to the final destination.
A-Shortest,g (Actual Distance),The total distance travelled from the start node to the current node.
A-Shortest,f (Estimated Total Cost),The sum of the actual distance and heuristic: f = g + h.
A-Shortest,A* Algorithm Steps,"1. Start at the beginning node. 2. For each neighbour, calculate f = g + h. 3. Add unvisited nodes to open list. 4. Choose node with lowest f value as current. 5. Stop when destination node is reached."
A-Shortest,Open List,Nodes that are discovered but not yet visited.
A-Shortest,Closed List,Nodes that have been visited and finalised.
A-Shortest,Heuristic Function,"Function used to estimate the cost from a node to the goal (e.g., straight-line distance)."
A-Shortest,Optimal Path,The path with the smallest total distance or cost.
A-Graph,Node (Vertex),A point in a graph representing an entity such as a city or location.
A-Graph,Edge,A connection between two nodes representing distance or cost.
A-Graph,Path,A sequence of connected nodes from start to destination.
A-Graph,Graph,A collection of nodes and edges representing a network of connections.
Shorest,Comparison - Dijkstra vs A*,"Dijkstra: slower, no heuristic, checks all paths. A*: faster, uses heuristic, visits fewer nodes."
A-Shortest,Purpose of A* Algorithm,Finds the most efficient path to the destination by using both actual and estimated distances.
A-Shortest,Heuristic Advantage,Helps A* find a solution faster by guiding the search toward the goal.
A-Shortest,Practical Use,"Used in GPS, network routing, and AI pathfinding systems."
A-Algorithms,Searching Algorithm,A method used by a computer to find a specific item in a data structure such as an array or list.
A-Algorithms,Linear Search,Checks each element one by one until the target item is found or the list ends. Works on unsorted lists.
A-Algorithms,Advantages of Linear Search,Simple and works on any list; efficient for small datasets.
A-Algorithms,Disadvantages of Linear Search,Inefficient for large lists as it must check each item.
A-BigO,Time Complexity of Linear Search,O(N) ‚Äì Linear time.
A-Algorithms,Binary Search,Efficient search for sorted lists; repeatedly divides the list in half until the target is found.
A-Algorithms,Advantages of Binary Search,"Very efficient on large, sorted datasets."
A-Algorithms,Disadvantages of Binary Search,Requires the list to be sorted first.
A-BigO,Time Complexity of Binary Search,O(log N) ‚Äì Logarithmic time.
A-Algorithms,Sorting Algorithm,"A method used to arrange data into a specific order, such as ascending or descending."
A-Algorithms,Bubble Sort,Compares and swaps adjacent items repeatedly until the list is sorted.
A-Algorithms,Advantages of Bubble Sort,Simple and easy to implement; useful for small datasets.
A-Algorithms,Disadvantages of Bubble Sort,Slow for large datasets; performs unnecessary passes even when sorted.
A-BigO,Time Complexity of Bubble Sort,O(N¬≤) ‚Äì Quadratic time.
A-Algorithms,Insertion Sort,Builds a sorted list one item at a time by inserting each new item into the correct position.
A-Algorithms,Advantages of Insertion Sort,Fast for small or nearly sorted lists; simple to code.
A-Algorithms,Disadvantages of Insertion Sort,Inefficient for large datasets; slower than merge sort.
A-BigO,Time Complexity of Insertion Sort,O(N¬≤) ‚Äì Quadratic time.
A-Algorithms,Merge Sort,"Uses divide and conquer to split, sort, and merge sublists into one sorted list."
A-Algorithms,Advantages of Merge Sort,Efficient for large datasets and guarantees O(N log N) performance.
A-Algorithms,Disadvantages of Merge Sort,Requires extra memory for temporary sublists.
A-BigO,Time Complexity of Merge Sort,O(N log N) ‚Äì Linearithmic time.
A-Algorithms,Quick Sort,Uses divide and conquer with a pivot to partition data into smaller sublists which are recursively sorted.
A-Algorithms,Advantages of Quick Sort,Very fast on average; efficient for large datasets.
A-Algorithms,Disadvantages of Quick Sort,Can be inefficient with poor pivot selection; may cause stack overflow.
A-BigO,Time Complexity of Quick Sort,"Best: O(N log N), Average: O(N log N), Worst: O(N¬≤)."
A-BigO,Big O Notation,Describes algorithm efficiency in terms of time or space as input size increases.
A-BigO,O(1),Constant time ‚Äì performance unaffected by input size.
A-BigO,O(log N),"Logarithmic time ‚Äì data size halves with each step (e.g., Binary Search)."
A-BigO,O(N),"Linear time ‚Äì performance decreases proportionally to input size (e.g., Linear Search)."
A-BigO,O(N log N),"Linearithmic time ‚Äì splits and sorts data efficiently (e.g., Merge Sort)."
A-BigO,O(N¬≤),"Quadratic time ‚Äì performance decreases rapidly (e.g., Bubble Sort)."
A-BigO,O(2‚Åø),"Exponential time ‚Äì doubles with each additional input (e.g., recursive algorithms)."
A-BigO,Divide and Conquer,"A problem-solving technique that splits data into smaller parts, solves them, and combines results."
A-BigO,Algorithm Complexity,"A measure of an algorithm‚Äôs efficiency, considering time and memory usage."
A-Computational Thinking,Abstraction,The process of removing unnecessary details and focusing only on the essential features of a system or problem.
A-Computational Thinking,Generalisation,Identifying common features in problems to create a single solution that can be reused.
A-Computational Thinking,Procedural Abstraction,Using a function or procedure without needing to know how it works internally.
A-Computational Thinking,Data Abstraction,Representing complex data using simplified data structures while hiding implementation details.
A-Computational Thinking,Decomposition,"Breaking down a complex problem into smaller, more manageable sub-problems."
A-Computational Thinking,Top-Down Design (Stepwise Refinement),"Designing a solution by repeatedly breaking a problem into smaller parts, starting from a high-level view."
A-Computational Thinking,Inputs,Data that is entered into a system to be processed.
A-Computational Thinking,Outputs,The results produced by a system after processing input data.
A-Computational Thinking,Reusable Components,"Pre-written code (e.g. functions, modules, classes) that can be reused in multiple programs."
A-Computational Thinking,Caching,Storing frequently used data in fast memory to improve performance and reduce processing time.
A-Computational Thinking,Preconditions,Conditions that must be true before a program or subroutine is executed.
A-Computational Thinking,Procedural Thinking,"Identifying steps, sub-procedures, and the correct order of operations to solve a problem."
A-Computational Thinking,Logical Thinking,Using logical conditions and decision points to control program flow.
A-Computational Thinking,Decision Points,Places in an algorithm where a condition is checked to determine the next action.
A-Computational Thinking,Concurrent Processing,A single processor switching between multiple tasks to give the appearance they run at the same time.
A-Computational Thinking,Parallel Processing,
A-TypeProgrammingLanguages,Source Code,A program written in a high-level language by a programmer that cannot run until it is translated.
A-TypeProgrammingLanguages,Object Code,Low-level (machine) code produced by a translator that the computer can understand.
A-TypeProgrammingLanguages,Executable Code,A complete machine-code program that can be run by the computer without further translation.
A-TypeProgrammingLanguages,Intermediate Code,Machine-independent code produced by a compiler that must be further interpreted before execution.
A-TypeProgrammingLanguages,High-Level Language (HLL),"A programming language designed to be easy for humans to read and write, using English-like statements."
A-TypeProgrammingLanguages,Low-Level Language (LLL),A machine-specific language that provides direct control of hardware and is harder to read and write.
A-TypeProgrammingLanguages,Assembler,A translator that converts assembly language into machine code.
A-TypeProgrammingLanguages,Compiler,"A translator that converts the entire source code into machine code in one process, producing an executable file."
A-TypeProgrammingLanguages,Interpreter,A translator that translates and executes source code line by line.
A-TypeProgrammingLanguages,Linker,A program that combines compiled object code and library routines into a single executable file.
A-TypeProgrammingLanguages,Loader,A part of the operating system that loads an executable program into memory and prepares it for execution.
A-Databases,Database,"An organised collection of related data stored so it can be accessed, managed, and updated efficiently."
A-Databases,Table,"A structure used to store data in a database, organised into rows (records) and columns (fields)."
A-Databases,Record,"A complete set of data about one entity, stored as a row in a table."
A-Databases,Field,"A single piece of data about an entity, stored as a column in a table."
A-Databases,Primary Key,A field (or combination of fields) that uniquely identifies each record in a table.
A-Databases,Domain,The set of valid values that a field is allowed to contain.
A-Databases,Atomic Data,Data that contains only a single value in each field (no multiple values in one field).
A-Databases,Flat File Database,A database that stores all data in a single table without relationships.
A-Databases,Normalisation,The process of organising data to reduce duplication and improve data integrity.
A-Databases,First Normal Form (1NF),"A table where fields are atomic, field names are unique, records are unique, and a primary key exists."
A-Databases,Second Normal Form (2NF),A table that is already in 1NF and has no partial dependencies.
A-Databases,Partial Dependency,When a non-key field depends on only part of a composite primary key.
A-Databases,Third Normal Form (3NF),A table that is already in 2NF and has no transitive dependencies.
A-Databases,Transitive Dependency,When a non-key field depends on another non-key field rather than the primary key.
A-Databases,One-to-Many Relationship,A relationship where one record in a table relates to multiple records in another table.
A-Databases,Many-to-Many Relationship,"A relationship where multiple records in one table relate to multiple records in another table, usually resolved using a linking table."
A-Databases,Structured Query Language (SQL),"A standard language used to create, retrieve, update, and delete data in relational databases."
A-Databases,SELECT,An SQL command used to retrieve data from a database table.
A-Databases,WHERE,An SQL clause used to filter records based on a condition.
A-Databases,JOIN (INNER JOIN),An SQL operation that combines data from two tables using a related field.
A-Databases,INSERT,An SQL command used to add new records to a table.
A-Databases,UPDATE,An SQL command used to modify existing records in a table.
A-Databases,DELETE,An SQL command used to remove records from a table.
A-Ethics,Data Protection Act (DPA),"A law that controls how personal data is collected, stored, processed, and shared to protect individuals’ privacy."
A-Ethics,Computer Misuse Act (CMA),"A law that makes unauthorised access to computer systems, unauthorised modification of data, and access with intent to commit further crimes illegal."
A-Ethics,"Copyright, Designs and Patents Act (CDPA)",A law that protects creators’ work by giving them legal rights over how their work is used and distributed.
A-Ethics,Regulation of Investigatory Powers Act (RIPA),A law that allows authorities to monitor electronic communications and require access to encrypted data under certain conditions.
A-Ethics,Ethical Issues,Moral concerns about what is right or wrong in the use of computer technology.
A-Ethics,Social Issues,The effects of digital technology on society and how people live and interact.
A-Ethics,Computers in the Workforce,"The use of computers and automation in jobs, which can increase efficiency but also lead to job losses and retraining needs."
A-Ethics,Automated Decision Making,"The use of algorithms to make decisions without human involvement, which can be fast but may be biased or unfair."
A-Ethics,Artificial Intelligence (AI),"Computer systems designed to perform tasks that normally require human intelligence, such as learning or decision making."
A-Ethics,Bias in AI,When AI systems produce unfair outcomes due to biased data or programmer assumptions.
A-Ethics,Environmental Impact,"The effect of computing on the environment, including energy use, e-waste, and resource depletion."
